,1,16,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus .
948,7,11,I also enjoyed the fact that the honey was in a bottle rather than those little packages that are almost impossible to open and make a huge mess once you manage to do so .
949,0,7,Vehicles are equipped with front and rear bumpers designed to withstand the impact of the collision .
950,24,27,"The Japanese team conducted their preliminary research on mice , with a cancer gene among the regulators , and created in the process a mischief of clone mice ."
951,1,9,"The acidity is caused by the gradual buildup of carbon dioxide ( CO2 ) in the atmosphere , dissolving into the oceans ."
952,3,11,The European colonial expansion to the Americas resulted in massive population movements from the Old World to the New World .
953,4,6,Workers take wax from wax producing workers and build the comb with it .
954,1,7,The author identifies the Piper with the devil .
955,1,4,"A faction of Sikh leaders took over a gurdwara in this Haryana town , which was controlled by Amritsar-based Shiromani Gurdwara Parbandhak Committee ( SGPC ) ."
956,1,11,The law-maker narrowly escaped by fleeing from his house on a horse .
957,9,12,"When the loading time was completed , the sliding bar of the injector was displaced manually to the other resting position ( dashed area ) ."
958,1,4,"Cambodian troops arrived to areas in Chad , Central African Republic where US forces had settled already ."
959,0,4,Highways are falling into disrepair .
960,15,18,"Witness Ryan Jones tried to stop the fleeing Diaz , Jones became caught on the door of the truck and was dragged for a distance ."
961,1,5,"The tea was in a mug my husband , Larry , had ordered from some company online ."
962,2,13,"While making observations the microfossil through the binocular microscope or on a computer monitor , the investigator needed to manually move the specimen ."
963,15,18,A while ago I was walking along the Nibenay Basin when I stumbled upon a harras of wild horses .
964,8,11,On the way in we saw a big raft of Eider ducks and there were some tiny babies with them .
965,3,8,Another 40 million people have been pushed into hunger this year .
966,6,9,He grabbed and put all dirty clothing in a hamper .
967,4,7,"Each recipe features an anecdote by a band that performed via the Hope Collective , a popular punk booking collective in Dublin ."
968,1,6,"The writer has a 'bottle of ink , a pen and a blotter ' ."
969,1,11,"The city has constructed some tourism facilities and a new police station in the showcase area , but no new houses are to be built here ."
970,5,10,"The straight , blue ion tail is caused by the solar wind and the curved dust tail is caused by solar radiation pressure ."
971,2,8,The ocean exploration is now moving into deeper waters .
972,0,13,"Infectious diseases or communicable diseases are caused by bacteria , viruses , and parasites ."
973,0,12,Proposals to simplify the university admissions process have been outlined at a conference of secondary school head teachers .
974,14,18,"During the reign of King Richard II , this was replaced by a hammerbeam roof by the royal carpenter Hugh Herland , `` the greatest creation of medieval timber architecture '' ."
975,7,11,"To prepare for his exam , the student visited the ISA website ."
976,6,10,The Football Club has rescheduled the trials to the next day due to recent wet weather .
977,2,6,The second lesson points to the predominant role of quality over quantity .
978,3,8,"Many times , journalists become the topic for discussion among political party supporters at press conferences ."
979,0,12,Women improve lives of their families with the help of a few sheep .
980,1,13,The definition of the vCard Specification made use of a number of existing standards .
981,2,9,All your posts are imported into the standard Wordpress installation .
982,6,9,"Without wasting time , a medical team of the army rushed to the house of the militant and provided emergent medical treatment to her ."
983,1,8,The report provides a full account of the societal impacts of car production .
984,8,12,"The Siege started rather slow , with a regiment of lightly armored swordsmen ramming down the gate ."
985,17,23,"On this basis , the vibronically coupled CD bands of lutein diacetate are attributed to an excitonic interaction arose from the twisted nematic layers ."
986,3,9,PSA is a chemical produced exclusively by the prostate gland to liquefy semen .
987,2,9,"The pension crisis has been caused by the escalating cost of funding `` copper bottomed '' final salary pension schemes still provided , unlike most companies , by councils and other public sector employers such as Transport for London ."
988,4,7,The editors have inserted narration into the description .
989,1,2,A blood clot is a normal reaction of the body that occurs if a blood vessel is injured .
990,4,10,"A third of the injuries are caused by illegally obtained fireworks , and burns account for half the injuries ."
991,7,11,The icon is generally a flat panel painting depicting a holy being or object .
992,1,10,The weather is still the main talking point on the front pages .
993,1,5,Their relationship is thrown into chaos .
994,26,28,"I wanted to breastfeed him when he was hungry and I noticed that he was n't approving of my breast , so I gave him a bottle with formula in it ."
995,9,12,The mess was rapidly cleaned by one of the waiters with a mop and disinfectant and the meal continued .
996,7,9,"The skies were also filled with a desert of lapwings and a congregation of golden plover , mixed together in a cloud of birds which filled the sky as they escaped a passing ( but unseen by me ) predator ."
